timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772684029986,13373,training,200,OK,Thread Group 1-9,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,142,0,0
1772684029986,142,training-0,301,Moved Permanently,Thread Group 1-9,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,142,0,0
1772684030128,127,training-1,301,Moved Permanently,Thread Group 1-9,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,127,0,0
1772684030255,13104,training-2,200,OK,Thread Group 1-9,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,1441,0,0
1772684034148,9512,training,200,OK,Thread Group 1-10,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,123,0,0
1772684034148,123,training-0,301,Moved Permanently,Thread Group 1-10,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,123,0,0
1772684034271,132,training-1,301,Moved Permanently,Thread Group 1-10,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,132,0,0
1772684034404,9256,training-2,200,OK,Thread Group 1-10,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,205,0,0
1772684037711,6085,resources,200,OK,Thread Group 1-6,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,129,0,0
1772684037711,130,resources-0,301,Moved Permanently,Thread Group 1-6,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,129,0,0
1772684037841,128,resources-1,301,Moved Permanently,Thread Group 1-6,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,128,0,0
1772684037970,5826,resources-2,200,OK,Thread Group 1-6,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,314,0,0
1772684038805,5888,resources,200,OK,Thread Group 1-3,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,131,0,0
1772684038805,131,resources-0,301,Moved Permanently,Thread Group 1-3,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,131,0,0
1772684038936,117,resources-1,301,Moved Permanently,Thread Group 1-3,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,117,0,0
1772684039053,5640,resources-2,200,OK,Thread Group 1-3,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,318,0,0
1772684037000,10271,simpli,200,OK,Thread Group 1-2,text,true,,532187,242,10,10,https://www.simplilearn.com/,463,0,0
1772684037000,463,simpli-0,301,Moved Permanently,Thread Group 1-2,text,true,,569,121,10,10,http://www.simplilearn.com/,463,0,0
1772684037463,9808,simpli-1,200,OK,Thread Group 1-2,text,true,,531618,121,10,10,https://www.simplilearn.com/,862,0,0
1772684035812,12238,simpli,200,OK,Thread Group 1-8,text,true,,532187,242,10,10,https://www.simplilearn.com/,136,0,0
1772684035812,136,simpli-0,301,Moved Permanently,Thread Group 1-8,text,true,,569,121,10,10,http://www.simplilearn.com/,136,0,0
1772684035948,12102,simpli-1,200,OK,Thread Group 1-8,text,true,,531618,121,10,10,https://www.simplilearn.com/,669,0,0
1772684039605,9077,resources,200,OK,Thread Group 1-7,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,144,0,0
1772684039605,144,resources-0,301,Moved Permanently,Thread Group 1-7,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,144,0,0
1772684039749,131,resources-1,301,Moved Permanently,Thread Group 1-7,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,131,0,0
1772684039880,8802,resources-2,200,OK,Thread Group 1-7,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,978,0,0
1772684040373,9772,training,200,OK,Thread Group 1-5,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,141,0,0
1772684040373,141,training-0,301,Moved Permanently,Thread Group 1-5,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,141,0,0
1772684040514,125,training-1,301,Moved Permanently,Thread Group 1-5,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,125,0,0
1772684040640,9505,training-2,200,OK,Thread Group 1-5,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,309,0,0
1772684038595,11804,training,200,OK,Thread Group 1-4,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,125,0,0
1772684038595,125,training-0,301,Moved Permanently,Thread Group 1-4,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,125,0,0
1772684038721,127,training-1,301,Moved Permanently,Thread Group 1-4,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,127,0,0
1772684038848,11551,training-2,200,OK,Thread Group 1-4,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,593,0,0
1772684040054,10788,training,200,OK,Thread Group 1-1,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,116,0,0
1772684040054,116,training-0,301,Moved Permanently,Thread Group 1-1,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,116,0,0
1772684040170,111,training-1,301,Moved Permanently,Thread Group 1-1,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,111,0,0
1772684040281,10561,training-2,200,OK,Thread Group 1-1,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,744,0,0
1772684043359,7530,simpli,200,OK,Thread Group 1-9,text,true,,532187,242,10,10,https://www.simplilearn.com/,139,0,0
1772684043359,139,simpli-0,301,Moved Permanently,Thread Group 1-9,text,true,,569,121,10,10,http://www.simplilearn.com/,139,0,0
1772684043499,7390,simpli-1,200,OK,Thread Group 1-9,text,true,,531618,121,10,10,https://www.simplilearn.com/,440,0,0
1772684043661,7927,simpli,200,OK,Thread Group 1-10,text,true,,532187,242,10,10,https://www.simplilearn.com/,132,0,0
1772684043661,132,simpli-0,301,Moved Permanently,Thread Group 1-10,text,true,,569,121,10,10,http://www.simplilearn.com/,132,0,0
1772684043793,7795,simpli-1,200,OK,Thread Group 1-10,text,true,,531618,121,10,10,https://www.simplilearn.com/,300,0,0
1772684048051,5097,resources,200,OK,Thread Group 1-8,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,143,0,0
1772684048051,143,resources-0,301,Moved Permanently,Thread Group 1-8,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,143,0,0
1772684048194,111,resources-1,301,Moved Permanently,Thread Group 1-8,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,111,0,0
